state,year,president,party
North Carolina,1981,"Reagan, Ronald",Republican
North Carolina,1982,"Reagan, Ronald",Republican
North Carolina,1983,"Reagan, Ronald",Republican
North Carolina,1984,"Reagan, Ronald",Republican
North Carolina,1985,"Reagan, Ronald",Republican
North Carolina,1986,"Reagan, Ronald",Republican
North Carolina,1987,"Reagan, Ronald",Republican
North Carolina,1988,"Reagan, Ronald",Republican
North Carolina,1989,"Bush, George H.W.",Republican
North Carolina,1990,"Bush, George H.W.",Republican
North Carolina,1991,"Bush, George H.W.",Republican
North Carolina,1992,"Bush, George H.W.",Republican
North Carolina,1993,"Bush, George H.W.",Republican
North Carolina,1994,"Bush, George H.W.",Republican
North Carolina,1995,"Bush, George H.W.",Republican
North Carolina,1996,"Bush, George H.W.",Republican
North Carolina,1997,"Dole, Robert",Republican
North Carolina,1998,"Dole, Robert",Republican
North Carolina,1999,"Dole, Robert",Republican
North Carolina,2000,"Dole, Robert",Republican
North Carolina,2001,"Bush, George W.",Republican
North Carolina,2002,"Bush, George W.",Republican
North Carolina,2003,"Bush, George W.",Republican
North Carolina,2004,"Bush, George W.",Republican
North Carolina,2005,"Bush, George W.",Republican
North Dakota,1981,"Reagan, Ronald",Republican
North Dakota,1982,"Reagan, Ronald",Republican
North Dakota,1983,"Reagan, Ronald",Republican
North Dakota,1984,"Reagan, Ronald",Republican
North Dakota,1985,"Reagan, Ronald",Republican
North Dakota,1986,"Reagan, Ronald",Republican
North Dakota,1987,"Reagan, Ronald",Republican
North Dakota,1988,"Reagan, Ronald",Republican
North Dakota,1989,"Bush, George H.W.",Republican
North Dakota,1990,"Bush, George H.W.",Republican
North Dakota,1991,"Bush, George H.W.",Republican
North Dakota,1992,"Bush, George H.W.",Republican
North Dakota,1993,"Bush, George H.W.",Republican
North Dakota,1994,"Bush, George H.W.",Republican
North Dakota,1995,"Bush, George H.W.",Republican
North Dakota,1996,"Bush, George H.W.",Republican
North Dakota,1997,"Dole, Robert",Republican
North Dakota,1998,"Dole, Robert",Republican
North Dakota,1999,"Dole, Robert",Republican
North Dakota,2000,"Dole, Robert",Republican
North Dakota,2001,"Bush, George W.",Republican
North Dakota,2002,"Bush, George W.",Republican
North Dakota,2003,"Bush, George W.",Republican
North Dakota,2004,"Bush, George W.",Republican
North Dakota,2005,"Bush, George W.",Republican
Ohio,1981,"Reagan, Ronald",Republican
Ohio,1982,"Reagan, Ronald",Republican
Ohio,1983,"Reagan, Ronald",Republican
Ohio,1984,"Reagan, Ronald",Republican
Ohio,1985,"Reagan, Ronald",Republican
Ohio,1986,"Reagan, Ronald",Republican
Ohio,1987,"Reagan, Ronald",Republican
Ohio,1988,"Reagan, Ronald",Republican
Ohio,1989,"Bush, George H.W.",Republican
Ohio,1990,"Bush, George H.W.",Republican
Ohio,1991,"Bush, George H.W.",Republican
Ohio,1992,"Bush, George H.W.",Republican
Ohio,1993,"Clinton, Bill",Democrat
Ohio,1994,"Clinton, Bill",Democrat
Ohio,1995,"Clinton, Bill",Democrat
Ohio,1996,"Clinton, Bill",Democrat
Ohio,1997,"Clinton, Bill",Democrat
Ohio,1998,"Clinton, Bill",Democrat
Ohio,1999,"Clinton, Bill",Democrat
Ohio,2000,"Clinton, Bill",Democrat
Ohio,2001,"Bush, George W.",Republican
Ohio,2002,"Bush, George W.",Republican
Ohio,2003,"Bush, George W.",Republican
Ohio,2004,"Bush, George W.",Republican
Ohio,2005,"Bush, George W.",Republican
Oklahoma,1981,"Reagan, Ronald",Republican
Oklahoma,1982,"Reagan, Ronald",Republican
Oklahoma,1983,"Reagan, Ronald",Republican
Oklahoma,1984,"Reagan, Ronald",Republican
Oklahoma,1985,"Reagan, Ronald",Republican
Oklahoma,1986,"Reagan, Ronald",Republican
Oklahoma,1987,"Reagan, Ronald",Republican
Oklahoma,1988,"Reagan, Ronald",Republican
Oklahoma,1989,"Bush, George H.W.",Republican
Oklahoma,1990,"Bush, George H.W.",Republican
Oklahoma,1991,"Bush, George H.W.",Republican
Oklahoma,1992,"Bush, George H.W.",Republican
Oklahoma,1993,"Bush, George H.W.",Republican
Oklahoma,1994,"Bush, George H.W.",Republican
Oklahoma,1995,"Bush, George H.W.",Republican
Oklahoma,1996,"Bush, George H.W.",Republican
Oklahoma,1997,"Dole, Robert",Republican
Oklahoma,1998,"Dole, Robert",Republican
Oklahoma,1999,"Dole, Robert",Republican
Oklahoma,2000,"Dole, Robert",Republican
Oklahoma,2001,"Bush, George W.",Republican
Oklahoma,2002,"Bush, George W.",Republican
Oklahoma,2003,"Bush, George W.",Republican
Oklahoma,2004,"Bush, George W.",Republican
Oklahoma,2005,"Bush, George W.",Republican
Oregon,1981,"Reagan, Ronald",Republican
Oregon,1982,"Reagan, Ronald",Republican
Oregon,1983,"Reagan, Ronald",Republican
Oregon,1984,"Reagan, Ronald",Republican
Oregon,1985,"Reagan, Ronald",Republican
Oregon,1986,"Reagan, Ronald",Republican
Oregon,1987,"Reagan, Ronald",Republican
Oregon,1988,"Reagan, Ronald",Republican
Oregon,1989,"Dukakis, Michael",Democrat
Oregon,1990,"Dukakis, Michael",Democrat
Oregon,1991,"Dukakis, Michael",Democrat
Oregon,1992,"Dukakis, Michael",Democrat
Oregon,1993,"Clinton, Bill",Democrat
Oregon,1994,"Clinton, Bill",Democrat
Oregon,1995,"Clinton, Bill",Democrat
Oregon,1996,"Clinton, Bill",Democrat
Oregon,1997,"Clinton, Bill",Democrat
Oregon,1998,"Clinton, Bill",Democrat
Oregon,1999,"Clinton, Bill",Democrat
Oregon,2000,"Clinton, Bill",Democrat
Oregon,2001,"Gore, Al",Democrat
Oregon,2002,"Gore, Al",Democrat
Oregon,2003,"Gore, Al",Democrat
Oregon,2004,"Gore, Al",Democrat
Oregon,2005,"Kerry, John",Democrat
Pennsylvania,1981,"Reagan, Ronald",Republican
Pennsylvania,1982,"Reagan, Ronald",Republican
Pennsylvania,1983,"Reagan, Ronald",Republican
Pennsylvania,1984,"Reagan, Ronald",Republican
Pennsylvania,1985,"Reagan, Ronald",Republican
Pennsylvania,1986,"Reagan, Ronald",Republican
Pennsylvania,1987,"Reagan, Ronald",Republican
Pennsylvania,1988,"Reagan, Ronald",Republican
Pennsylvania,1989,"Bush, George H.W.",Republican
Pennsylvania,1990,"Bush, George H.W.",Republican
Pennsylvania,1991,"Bush, George H.W.",Republican
Pennsylvania,1992,"Bush, George H.W.",Republican
Pennsylvania,1993,"Clinton, Bill",Democrat
Pennsylvania,1994,"Clinton, Bill",Democrat
Pennsylvania,1995,"Clinton, Bill",Democrat
Pennsylvania,1996,"Clinton, Bill",Democrat
Pennsylvania,1997,"Clinton, Bill",Democrat
Pennsylvania,1998,"Clinton, Bill",Democrat
Pennsylvania,1999,"Clinton, Bill",Democrat
Pennsylvania,2000,"Clinton, Bill",Democrat
Pennsylvania,2001,"Gore, Al",Democrat
Pennsylvania,2002,"Gore, Al",Democrat
Pennsylvania,2003,"Gore, Al",Democrat
Pennsylvania,2004,"Gore, Al",Democrat
Pennsylvania,2005,"Kerry, John",Democrat
Rhode Island,1981,"Carter, Jimmy",Democrat
Rhode Island,1982,"Carter, Jimmy",Democrat
Rhode Island,1983,"Carter, Jimmy",Democrat
Rhode Island,1984,"Carter, Jimmy",Democrat
Rhode Island,1985,"Reagan, Ronald",Republican
Rhode Island,1986,"Reagan, Ronald",Republican
Rhode Island,1987,"Reagan, Ronald",Republican
Rhode Island,1988,"Reagan, Ronald",Republican
Rhode Island,1989,"Dukakis, Michael",Democrat
Rhode Island,1990,"Dukakis, Michael",Democrat
Rhode Island,1991,"Dukakis, Michael",Democrat
Rhode Island,1992,"Dukakis, Michael",Democrat
Rhode Island,1993,"Clinton, Bill",Democrat
Rhode Island,1994,"Clinton, Bill",Democrat
Rhode Island,1995,"Clinton, Bill",Democrat
Rhode Island,1996,"Clinton, Bill",Democrat
Rhode Island,1997,"Clinton, Bill",Democrat
Rhode Island,1998,"Clinton, Bill",Democrat
Rhode Island,1999,"Clinton, Bill",Democrat
Rhode Island,2000,"Clinton, Bill",Democrat
Rhode Island,2001,"Gore, Al",Democrat
Rhode Island,2002,"Gore, Al",Democrat
Rhode Island,2003,"Gore, Al",Democrat
Rhode Island,2004,"Gore, Al",Democrat
Rhode Island,2005,"Kerry, John",Democrat
South Carolina,1981,"Reagan, Ronald",Republican
South Carolina,1982,"Reagan, Ronald",Republican
South Carolina,1983,"Reagan, Ronald",Republican
South Carolina,1984,"Reagan, Ronald",Republican
South Carolina,1985,"Reagan, Ronald",Republican
South Carolina,1986,"Reagan, Ronald",Republican
South Carolina,1987,"Reagan, Ronald",Republican
South Carolina,1988,"Reagan, Ronald",Republican
South Carolina,1989,"Bush, George H.W.",Republican
South Carolina,1990,"Bush, George H.W.",Republican
South Carolina,1991,"Bush, George H.W.",Republican
South Carolina,1992,"Bush, George H.W.",Republican
South Carolina,1993,"Bush, George H.W.",Republican
South Carolina,1994,"Bush, George H.W.",Republican
South Carolina,1995,"Bush, George H.W.",Republican
South Carolina,1996,"Bush, George H.W.",Republican
South Carolina,1997,"Dole, Robert",Republican
South Carolina,1998,"Dole, Robert",Republican
South Carolina,1999,"Dole, Robert",Republican
South Carolina,2000,"Dole, Robert",Republican
South Carolina,2001,"Bush, George W.",Republican
South Carolina,2002,"Bush, George W.",Republican
South Carolina,2003,"Bush, George W.",Republican
South Carolina,2004,"Bush, George W.",Republican
South Carolina,2005,"Bush, George W.",Republican
South Dakota,1981,"Reagan, Ronald",Republican
South Dakota,1982,"Reagan, Ronald",Republican
South Dakota,1983,"Reagan, Ronald",Republican
South Dakota,1984,"Reagan, Ronald",Republican
South Dakota,1985,"Reagan, Ronald",Republican
South Dakota,1986,"Reagan, Ronald",Republican
South Dakota,1987,"Reagan, Ronald",Republican
